Index,Atom,Size,Cores,Overheads,Execution,Type
0,AA,Long,16,6.8372885933,2109.95218261,RP-Vanilla
1,AA,Long,64,9.1553520014,664.824335929,RP-Vanilla
2,AA,Long,256,13.5699147719,175.355202399,RP-Vanilla
3,AA,Medium,16,6.8446190506,1014.276189,RP-Vanilla
4,AA,Medium,64,8.534665412,303.095895088,RP-Vanilla
5,AA,Medium,256,13.2883596678,79.3761535352,RP-Vanilla
6,AA,Short,16,6.7106158237,504.244539455,RP-Vanilla
7,AA,Short,64,9.4300075918,143.894595837,RP-Vanilla
8,AA,Short,256,12.5158594955,37.5323356269,RP-Vanilla
9,AA,Short,1024,25.8562082567,9.8475512737,RP-Vanilla
10,AA,Long,16,6.47,2134.613,RP-Spark
11,AA,Long,64,5.91,725.705666667,RP-Spark
12,AA,Long,256,5.9,189.801666667,RP-Spark
13,AA,Long,1024,6.18,52.6013333333,RP-Spark
14,AA,Medium,16,5.88,900.476,RP-Spark
15,AA,Medium,64,5.9,399.289666667,RP-Spark
16,AA,Medium,256,5.87,89.3033333333,RP-Spark
17,AA,Medium,1024,6.09,27.5633333333,RP-Spark
18,AA,Short,16,5.96,464.868666667,RP-Spark
19,AA,Short,64,5.9,164.867333333,RP-Spark
20,AA,Short,256,5.89,47.231,RP-Spark
21,AA,Short,1024,5.89,18.8503333333,RP-Spark
