BatchTime, SubmissionTime, SchedulingDelay, TotalDelay, ProcessingDelay, NumberRecords, Scenario,Application,Centers
1513299420000 ms, 2017-12-14T18:57:02, 4, 3585, 3581, 0,34P-1B-16C,kmeans,10
1513299480000 ms, 2017-12-14T18:58:04, 0, 11119, 11119, 3631,34P-1B-16C,kmeans,10
1513299540000 ms, 2017-12-14T18:59:24, 0, 80133, 80133, 57423,34P-1B-16C,kmeans,10
1513299600000 ms, 2017-12-14T19:00:27, 17966, 76002, 58036, 52210,34P-1B-16C,kmeans,10
1513299660000 ms, 2017-12-14T19:01:29, 13689, 74999, 61310, 51617,34P-1B-16C,kmeans,10
1513299720000 ms, 2017-12-14T19:02:07, 36582, 49818, 13236, 5119,34P-1B-16C,kmeans,10
1513299780000 ms, 2017-12-14T19:03:00, 0, 2133, 2133, 0,34P-1B-16C,kmeans,10
1513299840000 ms, 2017-12-14T19:04:07, 0, 20568, 20568, 12484,34P-1B-16C,kmeans,10
1513299900000 ms, 2017-12-14T19:05:19, 1, 66594, 66593, 54138,34P-1B-16C,kmeans,10
1513299960000 ms, 2017-12-14T19:06:23, 3407, 58922, 55515, 51433,34P-1B-16C,kmeans,10
1513300020000 ms, 2017-12-14T19:07:26, 0, 53393, 53393, 47439,34P-1B-16C,kmeans,10
1513300080000 ms, 2017-12-14T19:08:07, 12412, 20406, 7994, 4506,34P-1B-16C,kmeans,10
1513300140000 ms, 2017-12-14T19:09:00, 1, 2038, 2037, 0,34P-1B-16C,kmeans,10
1513300200000 ms, 2017-12-14T19:10:03, 1, 9132, 9131, 4298,34P-1B-16C,kmeans,10
1513300260000 ms, 2017-12-14T19:11:32, 0, 92079, 92079, 31519,34P-1B-16C,kmeans,10
1513300320000 ms, 2017-12-14T19:12:53, 11018, 73763, 62745, 27395,34P-1B-16C,kmeans,10
1513300380000 ms, 2017-12-14T19:13:47, 20348, 21115, 767, 20802,34P-1B-16C,kmeans,10
