Nodes,Number_of_points,Number_of_partitions,ttc,system
2,   10000   ,   24   , 11.4595360756, stampede
2,   10000   ,   24   , 11.4205310345, stampede
2,   10000   ,   24   , 6.10898303986, stampede
2,   100000   ,   24   , 12.1228609085, stampede
2,   100000   ,   24   , 13.1600520611, stampede
2,   100000   ,   24   , 12.3519461155, stampede
2,   1000000   ,   24   , 12.2777540684, stampede
2,   1000000   ,   24   , 11.5013229847, stampede
2,   1000000   ,   24   , 6.37912011147, stampede
2,   10000000   ,   24   , 11.9941449165, stampede
2,   10000000   ,   24   , 12.1887879372, stampede
2,   10000000   ,   24   , 9.2677218914, stampede
2,   100000000   ,   24   , 76.7039449215, stampede
2,   100000000   ,   48   , 82.0037658215, stampede
1,   1000   ,   24   , 7.00300105432      ,stampede
1,   1000   ,   24   , 6.93140006065, stampede
1,   10000   ,   24   , 7.4715180397, stampede
1,   10000   ,   24   , 6.88513302803, stampede
1,   10000   ,   24   , 7.56783795357, stampede
1,   100000   ,   24   , 7.50335097313, stampede
1,   100000   ,   24   , 7.59421300888, stampede
1,   100000   ,   24   , 8.21946382523, stampede
1,   1000000   ,   24   , 7.71198296547, stampede
1,   1000000   ,   24   , 7.46445703506, stampede
1,   1000000   ,   24   , 7.57458901405, stampede
1,   10000000   ,   24   , 9.65892887115, stampede
1,   10000000   ,   24   , 8.5355899334, stampede
1,   10000000   ,   24   , 9.1427989006, stampede
1,   100000000   ,   48   , 30.885461092, stampede
1,   100000000   ,   48   , 34.0986230373, stampede
1,   100000000   ,   48   , 37.2126069069, stampede
1,   10000000   ,   96   , 21.6735579967, stampede
1,   10000   ,   96   , 132.97150898, stampede
1,   10000   ,   96   , 131.856004953, stampede
1,   10000   ,   96   , 129.36076808, stampede
2,   10000   ,   48   , 153.936073065, stampede
2,   10000   ,   48   , 137.162925959, stampede
2,   10000   ,   48   , 144.219539881, stampede
1,   1000000   ,   48   , 15.0668079853, stampede
1,   10000000   ,   48   , 17.0130178928, stampede
1,   100000000   ,   48   , 30.9866499901, stampede
1,   100000000   ,   96   , 32.8351209164, stampede
1,   1000000   ,   96   , 17.9663629532, stampede
