,nodes,framework,duration_TTC,duration_Units,session,json
0,1,RADICAL-Pilot,150.03909993171692,141.0,,rp_watershed_24tasks_24cores_26/rp_watershed_24tasks_24cores_26.json
1,1,RADICAL-Pilot,161.45869994163513,145.0,,rp_watershed_24tasks_24cores_20/rp_watershed_24tasks_24cores_20.json
2,1,RADICAL-Pilot,151.40030002593994,141.0,,rp_watershed_24tasks_24cores_22/rp_watershed_24tasks_24cores_22.json
3,1,RADICAL-Pilot,178.78830003738403,145.0,,rp_watershed_24tasks_24cores_28/rp_watershed_24tasks_24cores_28.json
4,1,RADICAL-Pilot,174.801500082016,148.0,,rp_watershed_24tasks_24cores_24/rp_watershed_24tasks_24cores_24.json
5,1,RADICAL-Pilot,162.13319993019104,141.0,,rp_watershed_24tasks_24cores_29/rp_watershed_24tasks_24cores_29.json
6,1,RADICAL-Pilot,150.5339000225067,141.0,,rp_watershed_24tasks_24cores_23/rp_watershed_24tasks_24cores_23.json
7,1,RADICAL-Pilot,154.43439984321594,142.0,,rp_watershed_24tasks_24cores_25/rp_watershed_24tasks_24cores_25.json
8,1,RADICAL-Pilot,161.35050010681152,143.0,,rp_watershed_24tasks_24cores_21/rp_watershed_24tasks_24cores_21.json
9,1,RADICAL-Pilot,150.37919998168945,141.0,,rp_watershed_24tasks_24cores_27/rp_watershed_24tasks_24cores_27.json
10,2,RADICAL-Pilot,166.65289998054504,143.0,,rp_watershed_48tasks_48cores_27/rp_watershed_48tasks_48cores_27.json
11,2,RADICAL-Pilot,167.1278998851776,144.0,,rp_watershed_48tasks_48cores_29/rp_watershed_48tasks_48cores_29.json
12,2,RADICAL-Pilot,175.20969986915588,143.0,,rp_watershed_48tasks_48cores_20/rp_watershed_48tasks_48cores_20.json
13,2,RADICAL-Pilot,166.78349995613098,143.0,,rp_watershed_48tasks_48cores_24/rp_watershed_48tasks_48cores_24.json
14,2,RADICAL-Pilot,158.62680006027222,142.0,,rp_watershed_48tasks_48cores_21/rp_watershed_48tasks_48cores_21.json
15,2,RADICAL-Pilot,163.70620012283325,143.0,,rp_watershed_48tasks_48cores_25/rp_watershed_48tasks_48cores_25.json
16,2,RADICAL-Pilot,185.9967999458313,152.0,,rp_watershed_48tasks_48cores_28/rp_watershed_48tasks_48cores_28.json
17,2,RADICAL-Pilot,165.91460013389587,143.0,,rp_watershed_48tasks_48cores_23/rp_watershed_48tasks_48cores_23.json
18,2,RADICAL-Pilot,153.73489999771118,141.0,,rp_watershed_48tasks_48cores_22/rp_watershed_48tasks_48cores_22.json
19,2,RADICAL-Pilot,168.5456998348236,142.0,,rp_watershed_48tasks_48cores_26/rp_watershed_48tasks_48cores_26.json
20,4,RADICAL-Pilot,185.86730003356934,147.0,,rp_watershed_96tasks_96cores_25/rp_watershed_96tasks_96cores_25.json
21,4,RADICAL-Pilot,166.50010013580322,143.0,,rp_watershed_96tasks_96cores_23/rp_watershed_96tasks_96cores_23.json
22,4,RADICAL-Pilot,172.55190014839172,145.0,,rp_watershed_96tasks_96cores_22/rp_watershed_96tasks_96cores_22.json
23,4,RADICAL-Pilot,195.02470016479492,150.0,,rp_watershed_96tasks_96cores_28/rp_watershed_96tasks_96cores_28.json
24,4,RADICAL-Pilot,191.8814001083374,148.0,,rp_watershed_96tasks_96cores_24/rp_watershed_96tasks_96cores_24.json
25,4,RADICAL-Pilot,192.91820001602173,146.0,,rp_watershed_96tasks_96cores_26/rp_watershed_96tasks_96cores_26.json
26,4,RADICAL-Pilot,159.4274001121521,141.0,,rp_watershed_96tasks_96cores_27/rp_watershed_96tasks_96cores_27.json
27,4,RADICAL-Pilot,174.42779994010925,146.0,,rp_watershed_96tasks_96cores_21/rp_watershed_96tasks_96cores_21.json
28,4,RADICAL-Pilot,188.8164999485016,150.0,,rp_watershed_96tasks_96cores_29/rp_watershed_96tasks_96cores_29.json
29,4,RADICAL-Pilot,178.97199988365173,149.0,,rp_watershed_96tasks_96cores_20/rp_watershed_96tasks_96cores_20.json
30,8,RADICAL-Pilot,222.623300075531,141.0,,rp_watershed_192tasks_192cores_24/rp_watershed_192tasks_192cores_24.json
31,8,RADICAL-Pilot,200.94400000572205,148.0,,rp_watershed_192tasks_192cores_25/rp_watershed_192tasks_192cores_25.json
32,8,RADICAL-Pilot,182.7063000202179,144.0,,rp_watershed_192tasks_192cores_26/rp_watershed_192tasks_192cores_26.json
33,8,RADICAL-Pilot,177.59920001029968,143.0,,rp_watershed_192tasks_192cores_29/rp_watershed_192tasks_192cores_29.json
34,8,RADICAL-Pilot,213.93420004844666,145.0,,rp_watershed_192tasks_192cores_27/rp_watershed_192tasks_192cores_27.json
35,8,RADICAL-Pilot,216.73920011520386,140.0,,rp_watershed_192tasks_192cores_20/rp_watershed_192tasks_192cores_20.json
36,8,RADICAL-Pilot,189.68670010566711,144.0,,rp_watershed_192tasks_192cores_22/rp_watershed_192tasks_192cores_22.json
37,8,RADICAL-Pilot,229.31990003585815,146.0,,rp_watershed_192tasks_192cores_28/rp_watershed_192tasks_192cores_28.json
38,8,RADICAL-Pilot,218.24659991264343,145.0,,rp_watershed_192tasks_192cores_21/rp_watershed_192tasks_192cores_21.json
39,8,RADICAL-Pilot,185.8404998779297,145.0,,rp_watershed_192tasks_192cores_23/rp_watershed_192tasks_192cores_23.json
